text,category,scaled_impact
"HILE ACTIONS ALWAYS SPEAK LOUDER THAN WORDS, WELL-ARTICULATED WORDS RESULT IN SUSTAINED HIGH IMPACT ACTIONS. FUNDAMENTALLY RIGHT IS ARVIND'S BESPOKE APPROACH TO SUSTAINABILITY WHICH FOCUSSES ON INPUT MANAGEMENT RATHER THAN TAILPIPE INTERCESSIONS. THE SIX KEY MATERIAL INPUTS ARE COTTON, PEOPLE, MONEY, ENERGY, WATER AND CHEMICALS. THE FUNDAMENTALLY RIGHT MANIFESTO IS A DECLARATION OF OUR CORE VALUES AND BELIEFS ACROSS THESE SIX INPUTS. IT FUNCTIONS BOTH AS A STATEMENT OF PRINCIPLES AND AS A CALL TO ACTION FOR ALL OUR EMPLOYEES. A COMPASS FOR STRATEGIC DECISIONS, THE MANIFESTO IS A VITAL STEP FORWARD IN ENSURING COGENT IMPLEMENTATION OF THE INPUT MANAGEMENT APPROACH ACROSS THE ENTIRE VALUE CHAIN. ","Policies, Standards, Code of Conduct",5.0
"NURTURE TALENT ......... DO GOOD BUILD LEADERS DO IT EMPOWER PEOPLE TO POWER PURPOSE MAKE SAFETY A CULTURE THE BEST INVESTMENTS ARE IN ASSETS YOU DON'T OWN' PROGRAMMES NOT PROJECTS INSTITUTIONALISE INTERVENTIONS OUTSMART LEGACY SUSTAIN LEADERSHIP EARN ETHICALLY DISTRIBUTE EQUITABLY CO-CREATE TRANSFORMATIONS INVEST AGGRESSIVELY FUTURE - PROOF GROWTH THROUGH PRODUCT & BUSINESS PORTFOLIO - THE FUNDAMENTALLY RIGHT MANIFESTO INNOVATE TO CONSERVE GO GREEN GROW CLEAN ENHANCE ENERGY RETHINK ACCOUNTABILITY IMPROVE ENERGY PRODUCTIVITY, THE ENERGY MIX WATT IS SAVED IS EARNED SEED AGRI-ECONOMIES ENHANCE QUALITY . ENRICH QUALITY OF LIFE RAISE BENCHMARKS. SET STANDARDS HARVEST HIGH IMPACT AREAS AND SEED CHANGE THEM INTO ZERO WASTAGE DISCHARGE BEFORE IT BECOMES CRITICAL NO BETTER BUSINESS COMPASS THAN A CUSTOMER'S GOAL ADDRESS CRITICALITY WASTE TO VALUE CULTIVATE WINNING CHEMISTRIES WITH CUSTOMERS FUNDAMENTALLY RIGHT SUSTAINABILITY REPORT ArVIND 2014-16 FASHIONING POSSIBILITIES ","Employee Health, Safety & Wellness",2.595121469659567
"COMPANY PROFILE With a market cap of USD 1.3 billion and 85 years of rich business experience, Arvind is one of the oldest and most respected conglomerates in India. The Group has varied business interests, ranging from textiles, retail and advanced materials, to environmental solutions and real estate. We started life as a spinning and weaving unit in 1931 and have grown over the years. But one thing has remained constant: Change. In mid- 1980s, when several large composite mills in the country were in crisis due to the introduction of power looms, we adopted the 'Reno-vision' business strategy that focussed on international markets and high-quality premium fabrics. Within a decade, we were among the top three denim producers in the world. WE MANAGE 15 GLOBAL APPAREL BRANDS IN INDIA REGISTERED 22 WE HAVE GLOBAL PATENTS FOR ENVIRONMENTAL SOLUTIONS OVER 80,000 ACRES OF FARMLAND UNDER ORGANIC & BCI CULTIVATION In the last two decades, we have introduced some of the biggest clothing brands to cater to the changing needs of the aspirational Indian. The growing presence in the readymade garment domain has now put Arvind on the top as one-stop solution provider for leading global and domestic apparel brands. In the last few years, we have also played a part in transforming the way clothes are made and worn, by collaborating with international brands and enhancing the scope of sustainable fibres. Year after year, we continue to bring world-class technologies and best practices to Indian textile industries; at the same time, we also continue to indigenise and innovate better equipment and production processes. It has been our constant endeavour to be a responsible corporate citizen - not just for the society, but also for the environment. In 2010-11, we became one of the first implementation partners of the Better Cotton Initiative (BCI) in India. BCI seeks to enhance the profitability of farmers, while simultaneously minimising the environmental impact of cotton farming. We have also been one of the proponents of organic cotton cultivation amongst Indian cotton farmers. Through Arvind Foundation and SHARDA Trust, we undertake comprehensive, long-term programmes in the field of education, healthcare and skill-building.",Long term Viability of Core Business,2.394893905600406
"Vision WE WILL ENABLE PEOPLE TO EXPERIENCE A BETTER QUALITY OF LIFE BY PROVIDING, ENRICHING AND INSPIRING LIFESTYLE SOLUTIONS This underlying theme of enhancing lifestyle runs across the broad spectrum of all business activities at Arvind.",Product Societal Value,1.6610568261281102
"CHARTERS, PRINCIPLES AND COALITIONS Our long-standing commitment is to be a responsible organisation. Towards the purpose, we have embraced globally best sustainability practices, and have signed several international charters, principles and coalitions. Higg( Index Sustainable Apparel Coalition GANIC TEXTILE TILE STANDARD GLOBAL . GOTS . 08 BCI Better Cotton Initiative SAI SOCIAL INTERNATIONAL SA 8000 ISO WORLD RESOURCES INSTITUTE INDIA GHG PROGRAM Promoting profitable , sustainable and competitive businesses. CDP DRIVING SUSTAINABLE ECONOMIES S sustainable plus gold CP LC CARBON PRICING LEADERSHIP COALITION 2030 Water Resources Group Disclaimer: All trademarks and logos used are properties of their respective owners","Policies, Standards, Code of Conduct",1.7331938202289212
"BUSINESS PROFILE Arvind today is synonymous with a vast range of lifestyle products - be it fabrics or brands. Our business divisions bring in the best technology and expertise to produce some of the finest fabrics and exacting dresses for some of the world's most quality conscious brands. In addition to consumer textile and garmenting, we have diversified business interests comprising advanced materials, retail, engineering, real estate, sustainable agriculture and telecom. All our businesses are aligned to the Group's philosophy of providing better quality of life by providing inspiring lifestyle solutions. DENIM INSTALLED CAPACITY OF OVER 100 MILLION METRE PER ANNUM KNITS ANNUAL KNITTING CAPACITY OF 9,400 TON INCLUDING BOTH FABRIC & YARN DYEING GARMENT EXPORTS CAPACITY OF 22 MILLION PIECES PER ANNUM BRANDS & RETAIL ENERGIE uÃ§anu) 900 BRAND STORES 1,400 OYALE MULTI-BRAND OUTLETS ACROSS INDIA 09 WOVENS PRODUCTION CAPACITY OF 117 MILLION METRE. PER ANNUM OF SHIRTING & BOTTOM WEIGHT FABRICS VOILES PRODUCTION CAPACITY OF 40 MILLION METRE PER ANNUM ADVANCED MATERIALS CROSSED TURNOVER OF INR 5 BILLION IN FY 2015-16 In September 2015, we created a new value department chain 'Unlimited' from the existing Megamart chain. The Unlimited chain will sell premium brands and will also focus more on mass-priced franchise brands. AWARDS & RECOGNITIONS Awards not only acknowledge success, but also the ability, struggle, effort and above all, excellence put in by the organisation. We have received numerous awards and recognitions, from various industry bodies and government agencies over the years. Some of the key ones are listed below: Ministry of Power, India MOST ENERGY EFFICIENT TEXTILE UNIT IN INDIA TO SANTEJ UNIT SEEM Award - 2nd edition GOLD AWARD FOR NARODA UNIT ",Training & Development,1.381867701190261
"CORPORATE GOVERNANCE TRUST IS THE FOUNDATION OF SUSTAINABLE DEVELOPMENT. TRUSTWORTHY RELATIONS BETWEEN THE ORGANISATION AND ITS STAKEHOLDERS IS KEY TO SUSTAINING IN TODAY'S COMPETITIVE BUSINESS ENVIRONMENT. We have promoted and practised the tenets of good corporate governance since inception. Have garnered the trust of our investors by employing funds judiciously, yet competitively, and generating a steady stream of returns. We have reiterated the credibility & capability of our leadership time and again, by looking beyond the bend and acting before the herd. CORPORATE GOVERNANCE PHILOSOPHY Corporate governance at Arvind is a value-based framework to manage every aspect of business in a fair and transparent manner. We use this framework to maintain accountability in all our activities, and employ democratic and open processes. We have evolved guidelines and best practices over the years, to ensure timely and accurate disclosure of information regarding our financials, performance, leadership and governance of the Company. Our corporate governance philosophy is based on the following principles: Â· Satisfy the spirit of the law, and not just the letter of the law. Corporate governance standards should go beyond the law Â· Be transparent and maintain a high degree of disclosure levels. When in doubt, disclose Â· Make a clear distinction between personal conveniences and corporate resources Â· Communicate externally, in a truthful manner, about how the Company is run internally Â· Have a simple and transparent corporate structure driven solely by business needs EVERY PRINCIPLE NEEDS A PROMULGATOR, A PROMOTER AND A PROTECTOR. FOR ARVIND, THESE ROLES ARE ABLY PERFORMED BY OUR BOARD OF DIRECTORS. . The Management is the trustee of the shareholders' capital, and not the owner 11",Board Structure & Independence,1.0569203888818262
"BOARD OF DIRECTORS & BOARD COMMITTEES The Board at Arvind is responsible for providing strategic guidance & oversight, regarding management decisions as well as selecting and making changes in the management, whenever necessary. It oversees implementation of the corporate governance practices and ensure that these principles are followed in making key decisions, to protect the long-term interests of the stakeholders. As of 31st March 2016, the Board comprised 10 Directors, of whom 6 were independent and non-executive. The appointment of the Board members is based on their credentials and there is no discrimination due to caste, creed, minority community or other indicators of diversity. The independent, non-Executive Directors, including one female director, are leading professionals from varied fields, who not only bring in vast experience and independent judgment to the Board's discussions and deliberations, but also enable the separation of ownership and control. BOARD COMMITTEES At Arvind, the Board of Directors has constituted five Board Committees and determines the terms of reference of these Committees from time to time. Meetings of these Committees are convened by the respective Committee Chairman/Company Secretary. At each Board Meeting, minutes of these Committees are placed before the Directors for their perusal and noting. (For more information about the specific roles and responsibilities of the Board and its committees, please see the Corporate Governance Report section of our 85th Annual Report for FY 2015-16 on our website at http://www.arvind.com/investorrelations/ annualfinancialreport.htm) Composition of the Board as on 31st March, 2016 * Mr. Nilesh Shah was appointed as an Independent Director with effect from 6th May, 2015. Audit Committee The Audit Committee comprises three Non-executive, Independent Directors, with an Independent Director acting as the Chairman. Remuneration Committee In addition to reviewing and recommending the compensation and benefits of the Executive Directors, the Remuneration Committee also administers and supervises the Employee Stock Option Schemes, and reviews HR policies and initiatives. The Committee comprises three Non-executive, Independent Directors. Investors' Grievance Committee The Investors' Grievance Committee looks into the redressal of investor grievances pertaining to shares, debentures and bonuses etc. It also looks at means to strengthen investor relations. The Committee has four members: two Non-executive Directors and two Executive Directors. Management Committee The Management Committee's primary role is to look after the day-to-day business activities of the Company within the Board approved direction/framework. The Committee comprises two Executive Directors. Corporate Social Responsibility Committee The CSR Committee oversees the implementation and monitoring of the CSR policy, in compliance with the CSR objectives and policy of the Company. It comprises the managing director, an executive director, the CFO and is headed by an independent director.",Board Structure & Independence,1.0373071089666963
"THE CODE OF CONDUCT The Code of Conduct is an integral component of Arvind's culture, and a visible guideline for an employee's behaviour in the organisation. We actively promote it to enable users take day-to-day decisions in conjunction with the company's ethics, vision and mission. The Board has adopted the following codes in accordance with SEBI (Prohibition of Insider Trading) Regulations, 1992: Â· Code of Conduct for Directors and Senior Management Personnel Â· Arvind Code for Prevention of Insider Trading Â· Arvind Code of Corporate Disclosures WHISTLE BLOWER POLICY Through our Whistle Blower Policy, we provide our employees with a safe medium of registering the issues or complaints of wrongdoing within the Company, without the fear of any repercussions. The Policy provides a framework and avenue for all directors, employees, business associates and other stakeholders, to report instances of unethical/improper conduct in good faith of the Company. The Policy is also committed in adhering to the standards of ethical, moral and fair business practices. All disclosures are diligently overseen by a dedicated Whistle Blower Committee, appointed by the Board/Audit Committee. Our Whistle Blower Policy is freely available on our corporate website at http://arvind.com/ pdf/Whistleblower/Whistleblower%20policy.pdf 13 RISK MANAGEMENT Risk is an inherent part of business, but it can be mitigated through a robust risk management mechanism. We have a strong Enterprise Risk Management (ERM) framework which enables us to take certain risks to remain competitive and achieve higher growth, and at the same time mitigate other risks to maintain sustainable results. Under the framework, we have laid down a Risk Management Policy which defines the process for identification of risks, its assessment, mitigation measures, monitoring and reporting. While our employees and the Executive Management team continuously assess the identified risks, the Audit Committee reviews the identified Risks and its mitigation measures annually. Through diligent deliberation and extensive engagement with concerned stakeholders, we have identified 17 Risks. These have been divided into following categories: 6 STRATEGIC RISKS This includes geographical concentration of our manufacturing capacity, fluctuation in cotton prices, business continuity and succession planning 8 OPERATIONAL RISKS This includes labour unrest, customers credit risk, customers' concentration and fluctuation on foreign exchange rates 3 REGULATORY RISKS This includes bilateral/multilateral trade agreements, government policies with respect to textiles and Regulatory compliances We also have in place, an Internal Control System that is commensurate with the size, scale and complexity of our operations. Our Internal Audit department has professionals with adequate experience and expertise in internal controls, operating system and procedures. In discharging their role and responsibilities, the department is supported by an external audit firm. PUBLIC POLICY ADVOCACY As one of the largest players in India's textile industry, we continually engage with the government, regulating authorities and non-profit organisations, to shape policies that define the industry. Following are some of the key industry associations we are actively involved in: Â· The Cotton Textiles Export Promotion Council Â· Apparel Export Promotion Council Â· Agriculture & Processed Food Products Export Development Authority Â· Federation of Indian Export Organisations Â· Confederation of Indian Industry Â· Gujarat Chamber of Commerce & Industry Â· Confederation of Indian Textile Industry Â· Denim Manufacturers Association Â· Textiles Committee Â· Ahmedabad Textile Mills Association Â· Sustainable Apparel Coalition ","Policies, Standards, Code of Conduct",1.3986798041567576
"CASE STUDY KEEPING A KEEN EYE ON LEGAL COMPLIANCE Challenge We consider legal compliance as one of the cornerstones of an effective and efficient Corporate Governance framework. Traditionally, a select group of professionals used to monitor the compliance status of the Company. In the last 5 years, we have recorded exponential growth and have expanded into new businesses and geographies. Additionally, over the years, legislations and regulatory requirements have also been changing dynamically. All these factors necessitated a structured monitoring mechanism. Intervention In early 2014, we commissioned a large global consulting firm to help us create a new, more comprehensive compliance monitoring mechanism. Through collaboration, we created a customised repository of legal compliances applicable to our large businesses, identified roles in the organisational hierarchy that would be responsible for ensuring the compliance and prepared an online dashboard to review the status of legal compliances. To drive this project, a small task force was constituted in early 2015. The responsibilities of the special task force included: Â· Working with the implementation partner during the implementation phase Â· Supporting the qualitative review of database and imparting training to users Â· Engaging with individual employees on a one-on-one basis to help inculcate the practice of reporting the compliance status in the new reporting tool In early 2016, the new framework was rolled out for Textile, Garments and Brands businesses. A comprehensive tool has been created with features like: Â· Weekly notification for compliances that would become due in the next week Â· Reminder for pending compliances as well as notification for compliances that are fulfilled but not updated in the system Â· Provision to update the status of compliance in the tool with an option to uploading the proof of compliance (like copy of challan, return, extract of register etc.) The details provided by the concerned individual are reported to their HOD for review and approval. An online dash board is available with senior management to review the status of legal compliance across businesses, locations, departments, legislation category, and period etc. Impact & Way Forward The new legal compliance framework has been stabilised across the Textile business; i.e. Denim, Woven and Voiles. Garmenting and Brands are slowly catching up. The online tool is now able to provide a real-time status of legal compliances, identify concern which allows the management to take prompt actions. Sustaining such a framework has its own challenges. There are constant changes in legislations, ownership, roles and responsibility, businesses, addition of new employees. Besides, there is a need for conducting regular training and refresher modules. To meet these challenges, we have created a dedicated team that is responsible for monitoring the status of updates, follow up with individuals to update the status for pending items, training/re-training, addressing requests for change in mapping and auditing the compliances on a sample basis. 14 ",Regulatory & Legal Challenges,1.2693975635781016
